"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL"
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2004-05-18,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.4,0,2004-05-18,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.1,0,2004-05-18,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2004-05-18,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5.8,0,2004-05-18,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.5,1.487,2004-05-18,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.2,0,2004-05-18,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.4,0.065,2004-05-18,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.2,0,2004-05-18,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,0,2004-05-18,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",6,0.043,2004-05-18,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,0,2004-05-18,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.5,1.746,2004-05-18,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,0.202,2004-05-18,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,0,2004-05-18,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2004-05-18,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2004-05-18,NA
"R25","verde river at beeline highway","verde","verde @ beeline",13.7,0,2004-05-18,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,0.685,2004-05-18,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,0.365,2004-05-18,NA
"R3","Waddell Canal","cap","waddell canal",2.9,0.724,2004-05-18,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",NA,0,2004-05-18,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",NA,0,2004-05-18,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",NA,0,2004-05-18,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",NA,0,2004-05-18,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",NA,0,2004-05-18,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.5,NA,2004-05-18,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",6.4,0,2004-05-18,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",5.5,0,2004-05-18,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.7,0,2004-05-18,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,0,2004-05-18,NA
"Green In","Greenway WTP Inlet","srp","Green In",6.7,0,2004-06-21,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.9,0,2004-06-21,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,1.213,2004-06-21,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2.1,1.182,2004-06-21,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.5,NA,2004-06-21,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2004-06-21,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.6,0,2004-06-21,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2004-06-21,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2004-06-21,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",7.7,NA,2004-06-21,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",3.1,NA,2004-06-21,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",7.7,NA,2004-06-21,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",6,NA,2004-06-21,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.2,NA,2004-06-21,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2.6,NA,2004-06-21,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5.6,NA,2004-06-21,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-06-21,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.1,NA,2004-06-21,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2004-06-21,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2004-06-21,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2004-06-21,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2004-06-21,NA
"R25","verde river at beeline highway","verde","verde @ beeline",13.1,0,2004-06-21,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,2004-06-21,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,2004-06-21,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2004-06-21,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",21.3,0,2004-06-21,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",16.2,0,2004-06-21,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",8.6,0,2004-06-21,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",8.3,0,2004-06-21,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",6.6,0,2004-06-21,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.3,NA,2004-06-21,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5,NA,2004-06-21,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",5.1,NA,2004-06-21,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.2,NA,2004-06-21,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-06-21,NA
"Green In","Greenway WTP Inlet","srp","Green In",3.9,NA,2004-07-20,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.6,NA,2004-07-20,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2004-07-20,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2004-07-20,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.9,NA,2004-07-20,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2004-07-20,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2.4,NA,2004-07-20,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.9,NA,2004-07-20,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2004-07-20,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",0,NA,2004-07-20,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",4.6,NA,2004-07-20,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2.8,NA,2004-07-20,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",24.6,NA,2004-07-20,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",3.4,NA,2004-07-20,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2004-07-20,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2.9,NA,2004-07-20,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-07-20,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.6,NA,2004-07-20,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2004-07-20,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",11.7,NA,2004-07-20,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2004-07-20,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2004-07-20,NA
"R25","verde river at beeline highway","verde","verde @ beeline",10.9,NA,2004-07-20,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.2,NA,2004-07-20,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.1,NA,2004-07-20,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2004-07-20,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",19.1,NA,2004-07-20,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",12.8,NA,2004-07-20,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",13.2,NA,2004-07-20,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",13,NA,2004-07-20,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.4,NA,2004-07-20,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",3.2,NA,2004-07-20,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",3.4,NA,2004-07-20,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2.8,NA,2004-07-20,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.1,NA,2004-07-20,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-07-20,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.6,NA,2004-08-17,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.3,NA,2004-08-17,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.6,NA,2004-08-17,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",0,NA,2004-08-17,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5,NA,2004-08-17,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.3,NA,2004-08-17,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.2,NA,2004-08-17,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.1,NA,2004-08-17,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.8,NA,2004-08-17,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5,NA,2004-08-17,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2004-08-17,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.9,NA,2004-08-17,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.8,NA,2004-08-17,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.5,NA,2004-08-17,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",4.3,NA,2004-08-17,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4,NA,2004-08-17,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-08-17,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",3.9,NA,2004-08-17,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2.1,NA,2004-08-17,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",23.1,NA,2004-08-17,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.3,NA,2004-08-17,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.1,NA,2004-08-17,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.5,NA,2004-08-17,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.2,NA,2004-08-17,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.6,NA,2004-08-17,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2004-08-17,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",17.4,NA,2004-08-17,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",13.5,NA,2004-08-17,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",6.8,NA,2004-08-17,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",7.3,NA,2004-08-17,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.2,NA,2004-08-17,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",3.6,NA,2004-08-17,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",3.5,NA,2004-08-17,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2004-08-17,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.1,NA,2004-08-17,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-08-17,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.4,NA,2004-09-14,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.1,NA,2004-09-14,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2004-09-14,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2.8,NA,2004-09-14,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.2,NA,2004-09-14,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",3.6,NA,2004-09-14,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.2,NA,2004-09-14,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2004-09-14,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4,NA,2004-09-14,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",6.5,NA,2004-09-14,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.5,NA,2004-09-14,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",7.1,NA,2004-09-14,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.2,NA,2004-09-14,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.1,NA,2004-09-14,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",3.1,NA,2004-09-14,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4,NA,2004-09-14,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-09-14,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",6,NA,2004-09-14,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2.4,NA,2004-09-14,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",12.8,NA,2004-09-14,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4,NA,2004-09-14,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",3.9,NA,2004-09-14,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.3,NA,2004-09-14,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.9,NA,2004-09-14,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.7,NA,2004-09-14,NA
"R3","Waddell Canal","cap","waddell canal",3.1,NA,2004-09-14,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",18.7,NA,2004-09-14,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",15.6,NA,2004-09-14,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",7.8,NA,2004-09-14,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",6.8,NA,2004-09-14,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",6.3,NA,2004-09-14,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.7,NA,2004-09-14,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",4.6,NA,2004-09-14,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",4.9,NA,2004-09-14,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.1,NA,2004-09-14,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-09-14,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.4,NA,2004-10-12,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.8,NA,2004-10-12,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.1,NA,2004-10-12,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",0,NA,2004-10-12,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.8,NA,2004-10-12,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.4,NA,2004-10-12,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.7,NA,2004-10-12,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.1,NA,2004-10-12,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.8,NA,2004-10-12,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",6.2,NA,2004-10-12,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",3.3,NA,2004-10-12,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",9.4,NA,2004-10-12,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.4,NA,2004-10-12,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2004-10-12,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2004-10-12,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.4,NA,2004-10-12,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-10-12,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2004-10-12,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2004-10-12,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",19.8,NA,2004-10-12,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.5,NA,2004-10-12,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.6,NA,2004-10-12,NA
"R25","verde river at beeline highway","verde","verde @ beeline",12.7,NA,2004-10-12,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.1,NA,2004-10-12,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.4,NA,2004-10-12,NA
"R3","Waddell Canal","cap","waddell canal",3.3,NA,2004-10-12,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",17.1,NA,2004-10-12,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",16.6,NA,2004-10-12,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",6.1,NA,2004-10-12,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.1,NA,2004-10-12,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",0,NA,2004-10-12,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.7,NA,2004-10-12,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.2,NA,2004-10-12,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",4.3,NA,2004-10-12,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.2,NA,2004-10-12,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-10-12,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2004-11-09,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2004-11-09,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.4,NA,2004-11-09,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",0,NA,2004-11-09,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",NA,NA,2004-11-09,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2004-11-09,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2004-11-09,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2004-11-09,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2004-11-09,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",NA,NA,2004-11-09,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2004-11-09,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2004-11-09,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",NA,NA,2004-11-09,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2004-11-09,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2004-11-09,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",NA,NA,2004-11-09,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2004-11-09,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2004-11-09,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2004-11-09,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",16.8,NA,2004-11-09,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2004-11-09,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2004-11-09,NA
"R25","verde river at beeline highway","verde","verde @ beeline",NA,NA,2004-11-09,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.5,NA,2004-11-09,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.8,NA,2004-11-09,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2004-11-09,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",NA,NA,2004-11-09,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",NA,NA,2004-11-09,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",NA,NA,2004-11-09,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",NA,NA,2004-11-09,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",NA,NA,2004-11-09,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",NA,NA,2004-11-09,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",NA,NA,2004-11-09,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2004-11-09,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",NA,NA,2004-11-09,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",NA,NA,2004-11-09,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.7,NA,2004-12-07,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",3.8,NA,2004-12-07,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2004-12-07,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2004-12-07,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",NA,NA,2004-12-07,NA
