ID,site number,site location,cluster name,site acronym,date,periphyton description,(<6in depth) thickness,(<6in depth) mat color,(6-12in depth) thickness,(6-12in depth) mat color,(>12in depth) thickness,(>12in depth) mat color,canal notes
31,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/11/00 00:00:00",,"1 cm","patchy, green","1 cm","patchy","1 cm","patchy","earthy musty odor"
32,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/11/00 00:00:00",,"1/2 cm","brown","can not see",,"can not see",,"brown strip on top of water"
33,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/11/00 00:00:00",,,,,,,,"az canal shut-down"
34,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/11/00 00:00:00",,,,,,,,"az canal shut-down"
35,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/11/00 00:00:00",,,,,,,,"az canal shut-down"
36,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/11/00 00:00:00",,"1/2 cm","brown/green, patchy","sediment only",,"can not see ",,"used scrapper"
37,"R1","CAP canal above Waddell Canal","cap","cap-siphon","02/15/00 00:00:00",,"1 cm","black clumps","1 cm","sediment/rocks -brown","1 cm","sediment/rocks-brown",
38,"R3","Waddell Canal","cap","waddell canal","02/15/00 00:00:00",,"1cm - 1.5 cm","sediment/rocks-brown","1cm - 1.5 cm","sediment/rocks-brown","1cm - 1.5 cm","sediment/rocks-brown","used scrapper"
39,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","02/15/00 00:00:00",,"2 cm","yellowish","2 cm",,,,"lot of air bubbles along top layer"
40,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/14/00 00:00:00",,"1/2 cm","clumpy-brown","not visible",,,,"turbid water, see down about 1 '"
41,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/14/00 00:00:00",,,"clumpy",,,,,"patchy, turbid"
42,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/14/00 00:00:00",,"1/2 - 1 cm (uneven)","brown/goldish-brown","1/2 - 1 cm (uneven)","brown/goldish-brown","not visible",,"turbid/visible up to 2 '"
43,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/16/00 00:00:00","small amounts, very light","<1 cm thick, no strands","blue-green",,,,,"water level down to 1' from high mark"
44,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/16/00 00:00:00",,,"brown (muddy)","distinct zone","blue-green",,,"water clear, obtained with water sample bottle"
45,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/16/00 00:00:00","not visible, walls caked",,"green/yellow growth","not visible",,,,"white ""floc"" material"
46,"R1","CAP canal above Waddell Canal","cap","cap-siphon","03/16/00 00:00:00",,,,,,,,
47,"R3","Waddell Canal","cap","waddell canal","03/16/00 00:00:00",,,,,,,,
48,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00",,,,,,,,
49,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/17/00 00:00:00",,,,,,,,
50,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/17/00 00:00:00",,,,,,,,
51,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/17/00 00:00:00",,,,,,,,
52,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/15/00 00:00:00",,,,,,,,
53,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/15/00 00:00:00",,,,,,,,
54,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/15/00 00:00:00",,,,,,,,
55,"R1","CAP canal above Waddell Canal","cap","cap-siphon","05/16/00 00:00:00",,,,,,,,
56,"R3","Waddell Canal","cap","waddell canal","05/16/00 00:00:00",,,,,,,,
57,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","05/17/00 00:00:00",,,,,,,,
58,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/15/00 00:00:00",,,,,,,,
59,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/15/00 00:00:00",,,,,,,,
60,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/15/00 00:00:00",,,,,,,,
61,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/17/00 00:00:00",,,,,,,,
62,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/17/00 00:00:00",,,,,,,,
63,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/17/00 00:00:00",,,,,,,,
