"site number","site location","cluster","site acronym","date","e_coli","coliform","mycobacterium","mycobacterium_flag","Comments"
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-08-05,10,462,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-08-05,174,750,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-08-05,28,522,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-08-05,436,628,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2014-08-05,10,436,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-08-05,24,462,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-09-08,92,NA,2,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-09-08,46,NA,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-09-08,1080,NA,NA,"NCDC",NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-09-08,104,NA,9,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-09-08,2580,NA,NA,"NCDC",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-09-08,6,NA,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-09-08,1150,NA,NA,"NCDC",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-09-08,990,NA,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-09-08,432,NA,12,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-09-08,260,NA,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-09-08,2240,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2014-09-08,38,NA,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-09-08,1360,NA,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-10-06,30,444,NA,"NCDC",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-10-06,21,470,NA,"NCDC",NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-10-06,120,NA,NA,"NCDC",NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-10-06,5,NA,NA,"NCDC",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-10-06,60,NA,NA,"NCDC",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-10-06,60,364,9,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-10-06,16,510,11,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-10-06,72,NA,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-10-06,82,NA,NA,"NCDC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-10-06,50,NA,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-10-06,114,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2014-10-06,4,184,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-10-06,86,NA,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-11-03,29,672,68,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-11-03,20,1100,76,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-11-03,53,NA,64,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-11-03,46,776,37,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-11-03,45,NA,NA,"NCDC",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-11-03,19,676,5,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-11-03,10,NA,NA,"NCDC",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-11-03,29,NA,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-11-03,40,NA,76,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-11-03,23,NA,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-11-03,118,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2014-11-03,18,NA,9,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-11-03,50,NA,33,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-12-01,3,562,104,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-12-01,NA,NA,104,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-12-01,20,580,NA,"TNTC",NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-12-01,1,254,3,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-12-01,7,NA,120,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-12-01,18,NA,16,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-12-01,18,822,36,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-12-01,20,NA,52,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-12-01,17,NA,88,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-12-01,5,NA,96,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-12-01,13,NA,NA,"TNTC",NA
"R3","Waddell Canal","cap","waddell canal",2014-12-01,4,634,47,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-12-01,3,NA,42,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-01-05,1,418,36,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-01-05,NA,NA,NA,"TNTC",NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-01-05,NA,NA,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-01-05,3,418,14,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-01-05,23,546,168,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-01-05,7,NA,88,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-01-05,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-01-05,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-01-05,16,514,NA,"TNTC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-01-05,60,478,92,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-01-05,16,NA,220,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-01-05,2,388,16,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-01-05,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-02-02,60,928,156,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-02-02,44,792,228,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-02-02,60,NA,NA,"TNTC","Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-02-02,206,NA,NA,"TNTC",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-02-02,14,684,80,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-02-02,10,NA,84,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-02-02,3,NA,68,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-02-02,28,NA,27,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-02-02,82,612,64,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-02-02,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-02-02,72,NA,NA,"TNTC",NA
"R3","Waddell Canal","cap","waddell canal",2015-02-02,2,404,21,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-02-02,114,564,44,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-03-09,14,528,16,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-03-09,29,704,NA,"TNTC",NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-03-09,28,628,19,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-03-09,28,616,22,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-03-09,6,NA,102,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-03-09,12,596,15,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-03-09,24,500,35,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-03-09,48,468,34,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-03-09,36,700,21,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-03-09,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-03-09,32,808,NA,"TNTC",NA
"R3","Waddell Canal","cap","waddell canal",2015-03-09,12,260,4,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-03-09,132,608,NA,"TNTC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-04-06,16,636,46,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-04-06,24,776,182,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-04-06,32,820,116,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-04-06,48,784,34,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-04-06,32,NA,94,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-04-06,24,NA,NA,"TNTC",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-04-06,16,712,46,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-04-06,28,844,192,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-04-06,96,NA,4,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-04-06,12,660,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-04-06,256,NA,NA,"TNTC",NA
"R3","Waddell Canal","cap","waddell canal",2015-04-06,0,148,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-04-06,52,728,3,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-05-04,48,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-05-04,40,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-05-04,40,NA,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-05-04,176,1016,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-05-04,36,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-05-04,28,936,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-05-04,24,960,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-05-04,48,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-05-04,88,768,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-05-04,76,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-05-04,380,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-05-04,2,344,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-05-04,180,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-06-01,32,820,12,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-06-01,24,NA,4,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-06-01,8,756,36,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-06-01,76,792,19,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-06-01,24,744,1,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-06-01,9,652,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-06-01,22,764,7,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-06-01,11,708,24,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-06-01,44,600,37,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-06-01,32,560,17,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-06-01,48,828,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-06-01,4,640,3,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-06-01,24,780,5,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-07-06,32,768,19,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-07-06,28,NA,2,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-07-06,13,744,12,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-07-06,56,872,4,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-07-06,44,NA,8,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-07-06,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-07-06,13,795,13,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-07-06,11,756,28,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-07-06,112,808,9,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-07-06,16,NA,1,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-07-06,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-07-06,1,404,18,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-07-06,16,712,25,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-08-03,36,NA,2,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-08-03,20,504,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-08-03,28,904,NA,"ND","Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-08-03,7,692,7,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-08-03,28,844,NA,"ND",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-08-03,36,808,3,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-08-03,20,840,NA,"ND",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-08-03,12,NA,NA,"ND",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-08-03,52,784,6,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-08-03,8,912,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-08-03,132,NA,1,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-08-03,16,880,9,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-08-03,16,776,8,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-08-31,12,988,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-08-31,11,NA,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-08-31,9,NA,0,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-08-31,12,NA,0,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-08-31,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-08-31,4,784,24,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-08-31,24,744,11,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-08-31,16,848,3,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-08-31,28,NA,NA,"NCDC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-08-31,16,868,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-08-31,53,NA,5,NA,NA
"R3","Waddell Canal","cap","waddell canal",2015-08-31,1,572,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-08-31,24,964,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-10-05,16,1144,3,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-10-05,28,NA,7,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-10-05,8,NA,4,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-10-05,24,1120,4,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-10-05,12,720,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-10-05,4,NA,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-10-05,14,NA,5,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-10-05,20,1184,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-10-05,24,880,6,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-10-05,14,784,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-10-05,22,1116,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2015-10-05,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-10-05,NA,NA,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-11-02,11,988,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-11-02,14,732,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-11-02,9,960,22,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-11-02,14,936,9,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-11-02,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-11-02,4,1116,10,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-11-02,2,984,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-11-02,25,NA,11,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-11-02,36,720,NA,"NCDC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-11-02,16,772,NA,"NCDC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-11-02,116,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2015-11-02,NA,NA,NA,"NCDC",NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-11-02,76,NA,1,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2015-12-07,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2015-12-07,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2015-12-07,NA,NA,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2015-12-07,8,608,2,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2015-12-07,5,540,NA,"NCDC",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2015-12-07,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2015-12-07,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2015-12-07,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2015-12-07,13,680,NA,"NCDC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2015-12-07,10,748,18,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2015-12-07,32,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2015-12-07,5,712,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2015-12-07,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-01-04,9,380,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-01-04,19,496,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-01-04,5,252,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-01-04,16,300,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-01-04,52,428,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-01-04,89,256,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-01-04,3,580,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-01-04,24,172,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-01-04,100,296,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-01-04,6,380,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-01-04,37,232,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-01-04,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-01-04,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-02-01,9,256,3,NA,NA
