"site number","site location","cluster","site acronym","date","geosmin (ng/L)","Conductance (us/cm)","TP (ug/L)","DOC (mg/L)","UVA (cm-1)","Suva(L/mg-m)","TDN (mg/L)","MIB (ng/L)"
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2013-02-06,0.563859844778783,1407,60,5.25,0.15,2.85714285714286,0.626,1.91795756550291
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2013-02-06,0.638524514603433,1446,60,5.29,0.147,2.77882797731569,0.643,2.08735467381624
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2013-02-06,0,1164,30,5.89,0.164,2.78438030560272,0.663,1.684950114476
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2013-02-06,0,1641,20,3.53,0.064,1.81303116147309,0.372,0.918860334838584
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2013-05-08,1.14791756155635,1383,10,4.45,0.068,1.52808988764045,0.5,4.29393001749381
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2013-05-08,0.257024235206018,1355,20,3.74,0.063,1.68449197860963,0.5,1.04049499035698
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2013-05-08,0.90234206577831,1420,0,5.38,0.065,1.20817843866171,0.45,1.95489374920665
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2013-05-08,0.257024235206018,1352,0,5.13,0.062,1.20857699805068,0.47,1.04049499035698
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2013-05-08,5.20809909175327,1203,30,4.18,0.078,1.86602870813397,0.34,4.29074765522403
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2013-05-08,1.26115515127622,1212,20,4.38,0.081,1.84931506849315,0.38,1.71197342928023
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2013-05-08,1.86281511593242,1208,20,4.13,0.08,1.93704600484262,0.38,3.09205786694082
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2013-05-08,1.52173803846292,1216,10,4.04,0.076,1.88118811881188,0.39,2.33889879642658
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2013-05-08,0.257024235206018,1267,0,4.05,0.097,2.39506172839506,0.35,2.90748085529367
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2013-05-08,0.257024235206018,1495,10,4.96,0.088,1.7741935483871,0.84,1.04049499035698
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2013-05-08,0.257024235206018,1371,0,5.87,0.089,1.51618398637138,0.41,1.04049499035698
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2013-05-08,0.257024235206018,1385,10,3.96,0.072,1.81818181818182,0.52,1.04049499035698
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2013-08-05,1.13124602905425,1486,30,4.51177537034309,0.06,1.32985344071856,0.34,17.2478528315098
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2013-08-05,0.419906265110068,1597,30,3.68577610104574,0.066,1.79066764205439,0.37,2.42820849470909
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2013-08-05,1.37249498000431,1466,20,4.43065044210853,0.059,1.33163292322204,0.3,5.24340232385532
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2013-08-05,0.419906265110068,1604,20,3.74920104493821,0.065,1.7337027068142,0.29,1.19565490505346
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2013-08-05,1.62063675812437,1466,50,4.36722549821606,0.073,1.67154180680204,0.28,4.55151509873771
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2013-08-05,0.993389485654215,1563,40,4.35100051256914,0.071,1.63180858735584,0.55,2.16408986835431
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2013-08-05,1.65510089397438,1446,40,4.41737545385197,0.077,1.74311649087595,0.32,4.71309355250769
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2013-08-05,0.419906265110068,1216,30,3.91440089879768,0.07,1.78826854504097,0.4,2.38367084399044
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2013-08-05,0.419906265110068,1655,30,4.05157577744885,0.08,1.97454038612042,0.31,4.35782810607753
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2013-08-05,0.419906265110068,1655,30,4.54717533902727,0.082,1.80331730989598,0.42,4.40754455339138
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2013-08-05,0.419906265110068,1539,20,5.0811248666802,0.072,1.41700906569222,0.34,6.13519109754734
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2013-08-05,0.419906265110068,1590,10,3.75952603580443,0.074,1.96833322326404,0.37,1.19565490505346
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2013-11-06,0.462198154522265,1612,80,3.84672944015931,0.065,1.68974712183834,0.357244538657212,6.97414153809784
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2013-11-06,0.652916709292816,1614,60,4.10307732735184,0.066,1.60854877289376,0.463738985347073,6.22775085700432
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2013-11-06,0.558919707298759,1611,90,3.60119140363153,0.067,1.86049538862154,0.401472395526721,7.48962059641403
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2013-11-06,0.568455635037286,1615,90,3.53787656402373,0.065,1.83726025551535,0.361499522177178,7.49153687544123
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2013-11-06,1.50978793036908,1574,150,3.48691583946136,0.068,1.9501474406249,0.362937826465617,8.865508937942
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2013-11-06,1.57653942453877,1592,120,4.19110039705048,0.071,1.69406583650362,0.420769644729948,7.07474618702572
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2013-11-06,2.22362023536743,1621,30,3.98571323442032,0.069,1.73118325232536,0.386909564606273,9.98557402933908
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2013-11-06,2.14733281345921,1576,60,3.65524065695525,0.069,1.88770060512173,0.435572193031803,8.08175081581813
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2013-11-06,0.0385305078533964,1620,80,3.71237843904034,0.079,2.12801580704207,0.310080143865472,3.9684578839382
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2013-11-06,0.0385305078533964,1624,40,3.5888372885861,0.077,2.14554168406826,0.293839291275178,2.92408581411543
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2013-11-06,0.0385305078533964,1579,50,3.73399814036983,0.075,2.00857089855357,0.340224604577346,3.52962998670992
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2013-11-06,0.0385305078533964,1575,50,3.55331920783051,0.075,2.11070257450333,0.309301062375901,3.37920208307489
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2014-02-05,1.45806349295589,1595,10,4.0281542633091,0.062,1.53916647544346,0.426668230040644,1.82464067814663
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2014-02-05,1.45806349295589,1588,10,3.72981491490597,0.06,1.60865891120264,0.395871181172216,1.82464067814663
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2014-02-05,1.45806349295589,1585,0,3.70419992034611,0.055,1.48480106858976,0.425677971234585,1.82464067814663
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2014-02-05,1.45806349295589,1597,0,4.05527602225484,0.061,1.50421326847395,0.450335415505449,1.82464067814663
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2014-02-05,1.45806349295589,1535,0,4.01911367699385,0.067,1.66703421163528,0.528961964706518,1.82464067814663
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2014-02-05,1.45806349295589,1568,10,4.48771740100078,0.068,1.51524692675247,0.535497672826506,1.82464067814663
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2014-02-05,1.45806349295589,1539,60,4.10499924698869,0.068,1.65651674722919,0.51737593667563,1.82464067814663
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2014-02-05,1.45806349295589,1531,20,3.97240398103175,0.067,1.68663611052465,0.521435997780471,1.82464067814663
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2014-02-05,1.45806349295589,1669,0,3.8337816575313,0.07,1.82587341306952,0.349329017287452,2.64356735222516
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2014-02-05,1.45806349295589,1680,0,4.1923915813694,0.074,1.76510229456736,0.492421414762948,2.7132867852886
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2014-02-05,1.45806349295589,1627,0,3.66502404631337,0.069,1.88266159043095,0.361311148840764,2.17987778946989
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2014-02-05,1.45806349295589,1636,0,3.64242258052526,0.069,1.89434362637983,0.39864390582918,2.07253199570554
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2014-05-07,2.65236225079978,1637,10,3.89,0.059,1.51670951156812,0.29,2.1036978128852
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2014-05-07,1.88795641916149,1637,20,3.62,0.061,1.68508287292818,0.32,1.26155630171656
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2014-05-07,2.85566167410784,1644,0,4.04,0.061,1.50990099009901,0.34,1.37422703562935
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2014-05-07,1.55129257416335,1630,0,3.83,0.062,1.61879895561358,0.4,0.680868673089132
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2014-05-07,1.34636675546883,1583,30,3.71,0.066,1.77897574123989,0.3,1.29333522666632
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2014-05-07,1.01295570124362,1581,20,3.6,0.074,2.05555555555556,0.38,1.38144951857248
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2014-05-07,1.11053942443148,1591,20,3.79,0.067,1.76781002638522,0.33,0.712647598038892
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2014-05-07,0.965790235036147,1594,10,3.57,0.067,1.87675070028011,0.39,1.27600126760282
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2014-05-07,1.33986117392297,1845,0,4.15,0.068,1.63855421686747,0.32,4.29355464124139
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2014-05-07,1.12680337829613,1860,10,4.21,0.066,1.56769596199525,0.4,2.86350301850219
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2014-05-07,2.56616329531717,1729,0,4.06,0.067,1.65024630541872,0.38,3.28529602238082
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2014-05-07,1.13493535522845,1705,10,4,0.065,1.625,0.38,0.920655106800958
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2014-08-06,1.04634070635319,1678,22,9.728,0.066,0.678453947368421,0.301,11.7382020448809
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2014-08-06,0.34940082526022,1687,8,9.698,0.073,0.752732522169519,0.2877,3.59636746155655
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2014-08-06,NA,1684,10,9.558,0.063,0.659133709981168,0.2937,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2014-08-06,NA,1688,10,11.6,0.058,0.5,0.2368,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2014-08-06,1.07965033302307,1675,24,10.99,0.062,0.564149226569609,0.2746,0.942129387392818
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2014-08-06,0.979721453013417,1673,20,9.426,0.069,0.732017823042648,0.3985,2.34717741262936
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2014-08-06,1.11039768071835,1675,10,8.854,0.061,0.6889541450192,0.332,2.84964491834309
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2014-08-06,0.879792573003764,1703,12,8.615,0.063,0.731282646546721,0.2978,2.64726217298617
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2014-08-06,NA,2140,12,6.937,0.097,1.39829897650281,0.2927,NA
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2014-08-06,NA,2300,14,14.27,0.102,0.714786264891381,0.3291,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2014-08-06,NA,1927,10,5.256,0.059,1.12252663622527,0.2753,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2014-08-06,NA,1768,12,12.25,0.089,0.726530612244898,0.2526,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2014-11-05,0.47877575007222,1694,84,3.4,0.059,1.8,0.215,20.6100337978665
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2014-11-05,0.47877575007222,1694,56,3.8,0.06,1.6,0.229,20.2534991959686
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2014-11-05,0.47877575007222,1693,94,3.4,0.061,1.8,0.234,20.7035510704954
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2014-11-05,0.47877575007222,1692,72,3.6,0.061,1.7,0.263,19.268645418595
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2014-11-05,1.11202424584411,1659,134,3.8,0.069,1.8,0.275,6.11777895514905
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2014-11-05,0.47877575007222,1660,128,4,0.071,1.8,0.389,6.47431355704692
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2014-11-05,1.27252501666187,1655,113,3.8,0.07,1.8,0.306,6.01257202344148
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2014-11-05,1.32213434582372,1657,53,3.6,0.068,1.9,0.286,6.51230494905243
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2014-11-05,0.47877575007222,1965,56,3.6,0.069,1.9,0.206,5.87229611449806
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2014-11-05,0.47877575007222,1967,73,3.7,0.07,1.9,0.308,5.91028750650357
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2014-11-05,0.47877575007222,1931,85,3.6,0.064,1.8,0.268,19.8911197645314
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2014-11-05,0.47877575007222,1898,14,4.3,0.063,1.5,0.247,15.0866698832192
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2015-02-04,1.1753524372282,1738,21,2.709,0.057,2.10409745293466,NA,1.65701636880135
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2015-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2015-02-04,1.31444125266165,1749,29,2.859,0.055,1.92374956278419,NA,0.997240588065146
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2015-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2015-02-04,1.48191554063252,1698,21,3.206,0.068,2.12102308172177,NA,0.997240588065146
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2015-02-04,1.69196803740956,1703,122,3.053,0.064,2.09629872256797,NA,0.997240588065146
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2015-02-04,1.42798314281139,1707,10,2.952,0.065,2.20189701897019,NA,0.997240588065146
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2015-02-04,1.43366023731888,1712,16,3.076,0.064,2.08062418725618,NA,0.997240588065146
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2015-02-04,1.16399824821323,2010,26,2.883,0.071,2.46271245230662,NA,2.36879418151676
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2015-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2015-02-04,1.20373790976564,1913,24,3.049,0.076,2.49262053132174,NA,1.9885293226688
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2015-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2015-05-06,0.859087558903697,1768,9,4.5,0.052,1.1,0.214,3.57107263863886
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2015-05-06,1.16202353314475,1759,6,4.7,0.054,1.1,0.234,1.20851082851379
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2015-05-06,0.242492213103315,1769,7,5.3,0.052,1,0.217,3.39375563174787
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2015-05-06,0.242492213103315,1763,2,4.7,0.054,1.1,0.208,1.44077113331467
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2015-05-06,1.07623635459861,1727,6,5.4,0.059,1.1,0.221,4.54007261995865
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2015-05-06,0.242492213103315,1725,6,7,0.063,0.9,0.372,1.30091546590769
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2015-05-06,0.242492213103315,1700,14,6,0.059,1,0.254,3.7908458302784
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2015-05-06,0.242492213103315,1726,0,5.5,0.058,1.1,0.337,2.14504431561411
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2015-05-06,1.35772553420314,1855,0,7.1,0.069,1,0.217,1.30591031117223
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2015-05-06,0.242492213103315,1884,0,5.9,0.068,1.2,0.204,1.08863454216495
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2015-05-06,1.11912994387168,1821,0,5.8,0.068,1.2,0.221,1.40081237119839
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2015-05-06,0.242492213103315,2010,38,5.1,0.059,1.2,0.357,0.626611355195465
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2015-08-05,0.333231801338093,1955,12,4.575,0.062,1.3551912568306,0.2367,10.8975753087681
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2015-08-05,-1.19464952826019,2000,21,3.145,0.063,2.00317965023847,0.2092,2.03562657668338
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2015-08-05,0.287687532233083,1925,29,3.866,0.059,1.52612519399897,0.2165,12.4329959838456
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2015-08-05,-1.19464952826019,1976,8,3.259,0.065,1.99447683338447,0.3749,2.2299312932387
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2015-08-05,0.983741456290791,1830,9,3.279,0.061,1.86032326928942,0.2987,5.76048933447789
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2015-08-05,-1.19464952826019,1857,10,3.527,0.062,1.75786787638219,0.2784,3.28165724838068
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2015-08-05,0.829062806500189,1840,11,3.004,0.059,1.96404793608522,0.2354,6.80560066097118
